Code,Name,Description
BHC,Electric Energy Meter,
GCA,Crystalline photovoltaic module,
KEB,Control Unit,
KED,Router,
QBA,Fuseless disconnector,
RAA,Diode,
RBB,Power Filter,
TBB,Inverter,
TAB,DC/DC Converter,
TAA,Transformer,
WDB,LV Cable,
WBB,MV Cable,
WGB,Data cable,
WHA,Fibre optic cable,
